"busID","busLicense","busType","busSID"
"B001","LQ-3760","coach","1"
"B002","MK-1188","mini","2"
"B003","RT-2255","coach","3"
"B004","XZ-9911","double-decker","4"
"B005","AA-5555","coach","5"
"B006","BB-6666","mini","6"
"B007","CC-7777","coach","7"
"B008","DD-8888","shuttle","8"
"B009","EE-9999","coach","9"
"B010","FF-0001","mini","10"
"B001","LQ-3760","coach","11"
"B002","MK-1188","mini","12"
"B003","RT-2255","coach","13"
"B004","XZ-9911","double-decker","14"
"B005","AA-5555","coach","15"
"B006","BB-6666","mini","16"
"B007","CC-7777","coach","17"
"B008","DD-8888","shuttle","18"
"B009","EE-9999","coach","19"
"B010","FF-0001","mini","20"
"custSID","custID","custType"
"1","C0001","regular"
"2","C0002","senior"
"3","C0003","pwd"
"4","C0004","pregnant"
"5","C0005","student"
"dateSID","dateID","year","month","day"
"1","2020-01-01","2020","January","1"
"2","2020-01-02","2020","January","2"
"3","2020-01-03","2020","January","3"
"4","2020-01-04","2020","January","4"
"5","2020-01-05","2020","January","5"
"6","2020-01-06","2020","January","6"
"7","2020-01-07","2020","January","7"
"8","2020-01-08","2020","January","8"
"9","2020-01-09","2020","January","9"
"10","2020-01-10","2020","January","10"
"11","2020-01-11","2020","January","11"
"12","2020-01-12","2020","January","12"
"13","2020-01-13","2020","January","13"
"14","2020-01-14","2020","January","14"
"15","2020-01-15","2020","January","15"
"16","2020-01-16","2020","January","16"
"17","2020-01-17","2020","January","17"
"18","2020-01-18","2020","January","18"
"19","2020-01-19","2020","January","19"
"20","2020-01-20","2020","January","20"
"21","2020-01-21","2020","January","21"
"22","2020-01-22","2020","January","22"
"23","2020-01-23","2020","January","23"
"24","2020-01-24","2020","January","24"
"25","2020-01-25","2020","January","25"
"26","2020-01-26","2020","January","26"
"27","2020-01-27","2020","January","27"
"28","2020-01-28","2020","January","28"
"29","2020-01-29","2020","January","29"
"30","2020-01-30","2020","January","30"
"31","2020-01-31","2020","January","31"
"32","2020-02-01","2020","February","1"
"33","2020-02-02","2020","February","2"
"34","2020-02-03","2020","February","3"
"35","2020-02-04","2020","February","4"
"36","2020-02-05","2020","February","5"
"37","2020-02-06","2020","February","6"
"38","2020-02-07","2020","February","7"
"39","2020-02-08","2020","February","8"
"40","2020-02-09","2020","February","9"
"41","2020-02-10","2020","February","10"
"42","2020-02-11","2020","February","11"
"43","2020-02-12","2020","February","12"
"44","2020-02-13","2020","February","13"
"45","2020-02-14","2020","February","14"
"46","2020-02-15","2020","February","15"
"47","2020-02-16","2020","February","16"
"48","2020-02-17","2020","February","17"
"49","2020-02-18","2020","February","18"
"50","2020-02-19","2020","February","19"
"51","2020-02-20","2020","February","20"
"52","2020-02-21","2020","February","21"
"53","2020-02-22","2020","February","22"
"54","2020-02-23","2020","February","23"
"55","2020-02-24","2020","February","24"
"56","2020-02-25","2020","February","25"
"57","2020-02-26","2020","February","26"
"58","2020-02-27","2020","February","27"
"59","2020-02-28","2020","February","28"
"60","2020-02-29","2020","February","29"
"61","2020-03-01","2020","March","1"
"62","2020-03-02","2020","March","2"
"63","2020-03-03","2020","March","3"
"64","2020-03-04","2020","March","4"
"65","2020-03-05","2020","March","5"
"66","2020-03-06","2020","March","6"
"67","2020-03-07","2020","March","7"
"68","2020-03-08","2020","March","8"
"69","2020-03-09","2020","March","9"
"70","2020-03-10","2020","March","10"
"71","2020-03-11","2020","March","11"
"72","2020-03-12","2020","March","12"
"73","2020-03-13","2020","March","13"
"74","2020-03-14","2020","March","14"
"75","2020-03-15","2020","March","15"
"76","2020-03-16","2020","March","16"
"77","2020-03-17","2020","March","17"
"78","2020-03-18","2020","March","18"
"79","2020-03-19","2020","March","19"
"80","2020-03-20","2020","March","20"
"81","2020-03-21","2020","March","21"
"82","2020-03-22","2020","March","22"
"83","2020-03-23","2020","March","23"
"84","2020-03-24","2020","March","24"
"85","2020-03-25","2020","March","25"
"86","2020-03-26","2020","March","26"
"87","2020-03-27","2020","March","27"
"88","2020-03-28","2020","March","28"
"89","2020-03-29","2020","March","29"
"90","2020-03-30","2020","March","30"
"91","2020-03-31","2020","March","31"
"92","2020-04-01","2020","April","1"
"93","2020-04-02","2020","April","2"
"94","2020-04-03","2020","April","3"
"95","2020-04-04","2020","April","4"
"96","2020-04-05","2020","April","5"
"97","2020-04-06","2020","April","6"
"98","2020-04-07","2020","April","7"
"99","2020-04-08","2020","April","8"
"100","2020-04-09","2020","April","9"
"101","2020-04-10","2020","April","10"
"102","2020-04-11","2020","April","11"
"103","2020-04-12","2020","April","12"
"104","2020-04-13","2020","April","13"
"105","2020-04-14","2020","April","14"
"106","2020-04-15","2020","April","15"
"107","2020-04-16","2020","April","16"
"108","2020-04-17","2020","April","17"
"109","2020-04-18","2020","April","18"
"110","2020-04-19","2020","April","19"
"111","2020-04-20","2020","April","20"
"112","2020-04-21","2020","April","21"
"113","2020-04-22","2020","April","22"
"114","2020-04-23","2020","April","23"
"115","2020-04-24","2020","April","24"
"116","2020-04-25","2020","April","25"
"117","2020-04-26","2020","April","26"
"118","2020-04-27","2020","April","27"
"119","2020-04-28","2020","April","28"
"120","2020-04-29","2020","April","29"
"121","2020-04-30","2020","April","30"
"122","2020-05-01","2020","May","1"
"123","2020-05-02","2020","May","2"
"124","2020-05-03","2020","May","3"
"125","2020-05-04","2020","May","4"
"126","2020-05-05","2020","May","5"
"127","2020-05-06","2020","May","6"
"128","2020-05-07","2020","May","7"
"129","2020-05-08","2020","May","8"
"130","2020-05-09","2020","May","9"
"131","2020-05-10","2020","May","10"
"132","2020-05-11","2020","May","11"
"133","2020-05-12","2020","May","12"
"134","2020-05-13","2020","May","13"
"135","2020-05-14","2020","May","14"
"136","2020-05-15","2020","May","15"
"137","2020-05-16","2020","May","16"
"138","2020-05-17","2020","May","17"
"139","2020-05-18","2020","May","18"
"140","2020-05-19","2020","May","19"
"141","2020-05-20","2020","May","20"
"142","2020-05-21","2020","May","21"
"143","2020-05-22","2020","May","22"
"144","2020-05-23","2020","May","23"
"145","2020-05-24","2020","May","24"
"146","2020-05-25","2020","May","25"
"147","2020-05-26","2020","May","26"
"148","2020-05-27","2020","May","27"
"149","2020-05-28","2020","May","28"
"150","2020-05-29","2020","May","29"
"151","2020-05-30","2020","May","30"
"152","2020-05-31","2020","May","31"
"153","2020-06-01","2020","June","1"
"154","2020-06-02","2020","June","2"
"155","2020-06-03","2020","June","3"
"156","2020-06-04","2020","June","4"
"157","2020-06-05","2020","June","5"
"158","2020-06-06","2020","June","6"
"159","2020-06-07","2020","June","7"
"160","2020-06-08","2020","June","8"
"161","2020-06-09","2020","June","9"
"162","2020-06-10","2020","June","10"
"163","2020-06-11","2020","June","11"
"164","2020-06-12","2020","June","12"
"165","2020-06-13","2020","June","13"
"166","2020-06-14","2020","June","14"
"167","2020-06-15","2020","June","15"
"168","2020-06-16","2020","June","16"
"169","2020-06-17","2020","June","17"
"170","2020-06-18","2020","June","18"
"171","2020-06-19","2020","June","19"
"172","2020-06-20","2020","June","20"
"173","2020-06-21","2020","June","21"
"174","2020-06-22","2020","June","22"
"175","2020-06-23","2020","June","23"
"176","2020-06-24","2020","June","24"
"177","2020-06-25","2020","June","25"
"178","2020-06-26","2020","June","26"
"179","2020-06-27","2020","June","27"
"180","2020-06-28","2020","June","28"
"181","2020-06-29","2020","June","29"
"182","2020-06-30","2020","June","30"
"183","2020-07-01","2020","July","1"
"184","2020-07-02","2020","July","2"
"185","2020-07-03","2020","July","3"
"186","2020-07-04","2020","July","4"
"187","2020-07-05","2020","July","5"
"188","2020-07-06","2020","July","6"
"189","2020-07-07","2020","July","7"
"190","2020-07-08","2020","July","8"
"191","2020-07-09","2020","July","9"
"192","2020-07-10","2020","July","10"
"193","2020-07-11","2020","July","11"
"194","2020-07-12","2020","July","12"
"195","2020-07-13","2020","July","13"
"196","2020-07-14","2020","July","14"
"197","2020-07-15","2020","July","15"
"198","2020-07-16","2020","July","16"
"199","2020-07-17","2020","July","17"
"200","2020-07-18","2020","July","18"
"201","2020-07-19","2020","July","19"
"202","2020-07-20","2020","July","20"
"203","2020-07-21","2020","July","21"
"204","2020-07-22","2020","July","22"
"205","2020-07-23","2020","July","23"
"206","2020-07-24","2020","July","24"
"207","2020-07-25","2020","July","25"
"208","2020-07-26","2020","July","26"
"209","2020-07-27","2020","July","27"
"210","2020-07-28","2020","July","28"
"211","2020-07-29","2020","July","29"
"212","2020-07-30","2020","July","30"
"213","2020-07-31","2020","July","31"
"214","2020-08-01","2020","August","1"
"215","2020-08-02","2020","August","2"
"216","2020-08-03","2020","August","3"
"217","2020-08-04","2020","August","4"
"218","2020-08-05","2020","August","5"
"219","2020-08-06","2020","August","6"
"220","2020-08-07","2020","August","7"
"221","2020-08-08","2020","August","8"
"222","2020-08-09","2020","August","9"
"223","2020-08-10","2020","August","10"
"224","2020-08-11","2020","August","11"
"225","2020-08-12","2020","August","12"
"226","2020-08-13","2020","August","13"
"227","2020-08-14","2020","August","14"
"228","2020-08-15","2020","August","15"
"229","2020-08-16","2020","August","16"
"230","2020-08-17","2020","August","17"
"231","2020-08-18","2020","August","18"
"232","2020-08-19","2020","August","19"
"233","2020-08-20","2020","August","20"
"234","2020-08-21","2020","August","21"
"235","2020-08-22","2020","August","22"
"236","2020-08-23","2020","August","23"
"237","2020-08-24","2020","August","24"
"238","2020-08-25","2020","August","25"
"239","2020-08-26","2020","August","26"
"240","2020-08-27","2020","August","27"
"241","2020-08-28","2020","August","28"
"242","2020-08-29","2020","August","29"
"243","2020-08-30","2020","August","30"
"244","2020-08-31","2020","August","31"
"245","2020-09-01","2020","September","1"
"246","2020-09-02","2020","September","2"
"247","2020-09-03","2020","September","3"
"248","2020-09-04","2020","September","4"
"249","2020-09-05","2020","September","5"
"250","2020-09-06","2020","September","6"
"251","2020-09-07","2020","September","7"
"252","2020-09-08","2020","September","8"
"253","2020-09-09","2020","September","9"
"254","2020-09-10","2020","September","10"
"255","2020-09-11","2020","September","11"
"256","2020-09-12","2020","September","12"
"257","2020-09-13","2020","September","13"
"258","2020-09-14","2020","September","14"
"259","2020-09-15","2020","September","15"
"260","2020-09-16","2020","September","16"
"261","2020-09-17","2020","September","17"
"262","2020-09-18","2020","September","18"
"263","2020-09-19","2020","September","19"
"264","2020-09-20","2020","September","20"
"265","2020-09-21","2020","September","21"
"266","2020-09-22","2020","September","22"
"267","2020-09-23","2020","September","23"
"268","2020-09-24","2020","September","24"
